BS,CALI,RHOB,NPHI,PEF,GR,WELL,DEPTH_MD
12.25000095,12.19680023,2.388166666,0.380899787,2.787715197,68.78507233,2,5696.327174
12.25000095,12.18657303,2.39917779,0.414195895,2.633265495,69.87711334,2,5698.321924
12.25000095,12.18910027,2.415217161,0.365006447,2.811700583,67.11481476,2,5701.314051
12.25000095,12.19145012,2.394267798,0.354186714,2.699777126,70.41584015,2,5701.812738
12.25000095,12.18130016,2.371437311,0.372112036,2.589306116,69.83873749,2,5703.308801
12.25000095,12.19680023,2.371707678,0.328374416,2.573815823,69.96229553,2,5709.293053
12.25000095,12.19680023,2.366746903,0.345295996,2.610310078,71.21097565,2,5710.290429
12.25000095,12.19495392,2.374204397,0.36130473,2.653387308,66.57794952,2,5714.27993
12.25000095,12.18910027,2.381653547,0.358107805,2.604199886,64.16443634,2,5726.747122
12.25000095,12.18780327,2.375356197,0.36878702,2.63605237,59.43899918,2,5728.243185
12.25000095,12.19680023,2.382462263,0.338684261,2.578147173,68.46009064,2,5729.739248
12.25000095,12.19024086,2.371609926,0.348668069,2.578211784,65.14469147,2,5731.733999
12.25000095,12.19680023,2.372065067,0.36000663,2.656171084,68.77592468,2,5736.720876
12.25000095,12.19680023,2.366367817,0.349189133,2.573952198,65.18047333,2,5739.214314
12.25000095,12.18282032,2.371340275,0.395072579,2.614136457,64.36573029,2,5741.209065
12.25000095,12.18947029,2.380395174,0.394595832,2.726613998,69.00174713,2,5750.684131
12.25000095,12.19680023,2.378297329,0.354162961,2.664234638,65.3121109,2,5753.177569
12.25000095,12.19694805,2.379815579,0.366601884,3.038895845,62.96527863,2,5758.663134
12.25000095,12.22029972,2.395715714,0.365539819,2.591932774,67.70115662,2,5764.647386
12.25000095,12.22039986,2.388848066,0.371023208,2.722352266,63.69890213,2,5767.140824
12.25000095,12.2732563,2.376404285,0.357884556,2.735784769,67.86341095,2,5769.135575
12.25000095,12.28909206,2.378183603,0.376937568,2.768579245,70.62280273,2,5769.634263
12.25000095,12.44302559,2.356533289,0.386891067,2.630694151,62.49527359,2,5773.623764
12.25000095,12.42769051,2.36130333,0.391313314,2.717627049,59.86388779,2,5774.62114
12.25000095,12.30458546,2.381615877,0.362496644,2.818517447,61.86089706,2,5779.608016
12.25000095,12.23560047,2.366173983,0.402158111,2.687430859,66.41001892,2,5785.592268
12.25000095,12.2070303,2.53429389,0.37335071,3.237757921,60.88895416,2,5789.58177
12.25000095,12.20711327,2.428862572,0.418073386,2.82136488,65.88880158,2,5790.579145
12.25000095,12.23300552,2.377967119,0.371225596,2.579979658,62.46390152,2,5791.576521
12.25000095,12.24482918,2.359620333,0.362226337,2.548420429,64.91054535,2,5795.067334
12.25000095,12.24339962,2.36281848,0.340375632,2.573461056,60.45896912,2,5795.566022
12.25000095,12.19214249,2.374242306,0.399208665,2.686823368,58.39671326,2,5797.062085
12.25000095,12.1829958,2.364132404,0.343817681,2.551616907,67.01387024,2,5801.051587
12.25000095,12.19680023,2.367806912,0.363366604,2.584458828,64.94933319,2,5803.545025
12.25000095,12.19680023,2.358796835,0.374176085,2.549672604,63.79579544,2,5806.038463
12.25000095,12.18523598,2.366612673,0.346735954,2.573959589,65.98902893,2,5808.033214
12.25000095,12.19680023,2.372364044,0.371615857,2.631095886,64.77422333,2,5809.529277
12.25000095,12.19680023,2.372782707,0.374728352,2.622575522,59.12924576,2,5810.526652
12.25000095,12.19680023,2.364865542,0.363498688,2.592871189,63.20318604,2,5812.022716
12.25000095,12.19902802,2.380829811,0.388656288,2.670429945,64.42170715,2,5814.017466
12.25000095,12.19680023,2.377770901,0.381517977,2.666991711,63.74250412,2,5814.516154
12.25000095,12.23560047,2.3554492,0.361747742,2.637225866,61.51604462,2,5824.489908
12.25000095,12.23835945,2.359232187,0.377519906,2.533091784,63.63648224,2,5826.983346
12.25000095,12.25400257,2.354147434,0.371183962,2.626649618,60.11201096,2,5830.47416
12.25000095,12.26078701,2.354162455,0.378512085,2.647050142,60.58395767,2,5830.972847
12.25000095,12.27265263,2.373609543,0.358413369,2.539618731,68.07342529,2,5833.964973
12.25000095,12.31309891,2.362879038,0.38302806,2.543197155,62.49056244,2,5835.959724
12.25000095,12.32223415,2.388196945,0.36332196,2.615771771,63.83424759,2,5838.453163
12.25000095,12.32419205,2.387708187,0.375504583,2.667523384,65.55436707,2,5839.949226
12.25000095,12.35531616,2.368211508,0.381428331,2.577204704,61.72878647,2,5842.941352
12.25000095,12.53964329,2.362921238,0.372997671,2.457039833,65.32857513,2,5858.899357
12.25000095,12.46936798,2.4968853,0.382084489,3.237324238,57.42687607,2,5861.891484
12.25000095,12.49919987,2.366711855,0.373110443,2.511521339,62.10761261,2,5865.880985
12.25000095,12.50558949,2.387692213,0.377749831,2.518614292,65.44004059,2,5871.366549
12.25000095,12.58140469,2.355423927,0.349211007,2.647572279,62.00737,2,5874.358676
12.25000095,12.5487318,2.374044418,0.339522243,2.553011179,66.09913635,2,5875.854739
12.25000095,12.52312279,2.367596388,0.355345696,2.61603117,64.37187958,2,5876.852114
12.25000095,12.52019692,2.386940718,0.348097146,2.707326412,65.36930847,2,5885.329804
12.25000095,12.58836651,2.379699945,0.346733332,2.693034887,65.53652954,2,5886.32718
12.25000095,12.58971787,2.379174233,0.348812878,2.704704762,64.52908325,2,5886.825868
12.25000095,12.56412983,2.375519991,0.353388608,2.738352299,64.31371307,2,5887.324555
12.25000095,12.50408459,2.383621931,0.345833421,2.816955328,65.01089478,2,5889.817994
12.25000095,12.51469994,2.380084276,0.363523096,2.758592606,64.8960495,2,5894.80487
12.25000095,12.47208977,2.383558273,0.348878264,2.653531551,67.89526367,2,5901.786498
12.25000095,12.50888157,2.39065361,0.369011015,2.712467432,66.02972412,2,5903.282561
12.25000095,12.48417091,2.378870726,0.370799124,2.659235954,67.11135864,2,5904.778624
12.25000095,12.45270062,2.378430843,0.344174773,2.704053879,65.31848908,2,5905.775999
12.25000095,12.45449066,2.380548,0.337303996,2.721493483,66.18739319,2,5906.274687
12.25000095,12.48544788,2.389289379,0.357976586,2.69738698,69.54719544,2,5907.272062
12.25000095,12.53752995,2.373985052,0.334516615,2.705878496,68.31995392,2,5909.765501
12.25000095,12.47359562,2.384393454,0.369257897,2.548915863,59.87329483,2,5916.747128
12.25000095,12.46819973,2.383060694,0.369825631,2.661668539,64.33418274,2,5919.240567
12.25000095,12.46973991,2.388978958,0.35934934,2.614276648,64.54785919,2,5920.237942
12.25000095,12.52922154,2.376330614,0.348930568,2.644186497,63.83150482,2,5925.723507
12.25000095,12.50083923,2.376729488,0.34260425,2.541076899,66.54956055,2,5929.713008
12.25000095,12.52552795,2.388688564,0.316567451,2.573324204,62.79175568,2,5930.710383
12.25000095,12.43146324,2.379364252,0.351840168,2.582628965,57.23553848,2,5937.193323
12.25000095,12.48096752,2.385598421,0.339940965,2.554897785,53.64554596,2,5938.689386
12.25000095,12.45187187,2.383731365,0.337499172,2.563741922,60.20277023,2,5939.686762
12.25000095,12.4368,2.384830475,0.364217281,2.632612705,61.80988312,2,5940.185449
12.25000095,12.40594959,2.415404558,0.353104979,2.48214674,62.5725975,2,5943.676263
12.25000095,12.39069176,2.393700361,0.349198282,2.631085157,62.21353912,2,5949.660515
12.25000095,12.3829155,2.395395279,0.343515694,2.597274065,61.02179337,2,5950.159203
12.25000095,12.38295651,2.380446672,0.345521003,2.570173025,62.94691467,2,5951.156578
12.25000095,12.4059782,2.376837254,0.352923572,2.571782827,63.85900497,2,5951.655266
12.25000095,12.42963219,2.383360863,0.351383179,2.527771473,61.69830704,2,5952.652641
12.25000095,12.40659714,2.387423515,0.350313097,2.512765408,62.14532089,2,5953.151329
12.25000095,12.41509342,2.372138977,0.340835542,2.592746019,63.38317108,2,5957.14083
12.25000095,12.39031792,2.383919001,0.329120338,2.659583569,70.60542297,2,5959.135581
12.25000095,12.44453526,2.38687706,0.340523511,2.655820608,60.80865479,2,5961.130332
12.25000095,12.39405918,2.392732143,0.340393663,2.680017471,62.57660294,2,5961.62902
12.25000095,12.32806969,2.388734579,0.318518221,2.514146328,64.41521454,2,5965.119833
12.25000095,12.35832977,2.397889376,0.337984294,2.458555222,64.7036438,2,5966.615896
12.25000095,12.38155365,2.435881853,0.34501186,2.845477581,62.35607147,2,5983.07259
